hour,day,month,dayofweek,gen_lag_1,gen_lag_24
1,16,1,5,0.0,0.0
2,16,1,5,0.0,0.0
3,16,1,5,0.0,0.0
4,16,1,5,0.0,0.0
5,16,1,5,0.0,0.0
6,16,1,5,0.0,3.0
7,16,1,5,2.0,423.0
8,16,1,5,425.0,1598.0
9,16,1,5,1761.0,3930.0
10,16,1,5,3630.0,4860.0
11,16,1,5,4691.0,5317.0
12,16,1,5,4924.0,4947.0
13,16,1,5,4724.0,3884.0
14,16,1,5,3636.0,1821.0
15,16,1,5,1713.0,346.0
16,16,1,5,341.0,29.0
17,16,1,5,29.0,29.0
18,16,1,5,29.0,29.0
19,16,1,5,29.0,29.0
20,16,1,5,29.0,29.0
21,16,1,5,29.0,29.0
22,16,1,5,29.0,29.0
23,16,1,5,29.0,0.0
0,17,1,6,0.0,0.0
1,17,1,6,0.0,0.0
2,17,1,6,0.0,0.0
3,17,1,6,0.0,0.0
4,17,1,6,0.0,0.0
5,17,1,6,0.0,0.0
6,17,1,6,0.0,2.0
7,17,1,6,29.0,425.0
8,17,1,6,1030.0,1761.0
9,17,1,6,3215.0,3630.0
10,17,1,6,5476.0,4691.0
11,17,1,6,6065.0,4924.0
12,17,1,6,6884.0,4724.0
13,17,1,6,6206.0,3636.0
14,17,1,6,4544.0,1713.0
15,17,1,6,2064.0,341.0
16,17,1,6,412.0,29.0
17,17,1,6,29.0,29.0
18,17,1,6,29.0,29.0
19,17,1,6,29.0,29.0
20,17,1,6,29.0,29.0
21,17,1,6,29.0,29.0
22,17,1,6,29.0,29.0
23,17,1,6,29.0,0.0
0,18,1,0,0.0,0.0
1,18,1,0,0.0,0.0
2,18,1,0,0.0,0.0
3,18,1,0,0.0,0.0
4,18,1,0,0.0,0.0
5,18,1,0,0.0,0.0
6,18,1,0,0.0,29.0
7,18,1,0,55.0,1030.0
8,18,1,0,1256.0,3215.0
9,18,1,0,3807.0,5476.0
10,18,1,0,6130.0,6065.0
11,18,1,0,6857.0,6884.0
12,18,1,0,6831.0,6206.0
13,18,1,0,6016.0,4544.0
14,18,1,0,4088.0,2064.0
15,18,1,0,1883.0,412.0
16,18,1,0,464.0,29.0
17,18,1,0,29.0,29.0
18,18,1,0,29.0,29.0
19,18,1,0,29.0,29.0
20,18,1,0,29.0,29.0
21,18,1,0,29.0,29.0
22,18,1,0,29.0,29.0
23,18,1,0,29.0,0.0
0,19,1,1,1.0,0.0
1,19,1,1,1.0,0.0
2,19,1,1,1.0,0.0
3,19,1,1,1.0,0.0
4,19,1,1,0.0,0.0
5,19,1,1,0.0,0.0
6,19,1,1,0.0,55.0
7,19,1,1,34.0,1256.0
8,19,1,1,683.0,3807.0
9,19,1,1,2661.0,6130.0
10,19,1,1,4492.0,6857.0
11,19,1,1,5464.0,6831.0
12,19,1,1,5750.0,6016.0
13,19,1,1,5230.0,4088.0
14,19,1,1,3928.0,1883.0
15,19,1,1,2034.0,464.0
16,19,1,1,372.0,29.0
17,19,1,1,29.0,29.0
18,19,1,1,29.0,29.0
19,19,1,1,29.0,29.0
20,19,1,1,29.0,29.0
21,19,1,1,29.0,29.0
22,19,1,1,29.0,29.0
23,19,1,1,29.0,1.0
0,20,1,2,0.0,1.0
1,20,1,2,0.0,1.0
2,20,1,2,0.0,1.0
3,20,1,2,0.0,0.0
4,20,1,2,0.0,0.0
5,20,1,2,0.0,0.0
6,20,1,2,0.0,34.0
7,20,1,2,44.0,683.0
8,20,1,2,1245.0,2661.0
9,20,1,2,3416.0,4492.0
10,20,1,2,5578.0,5464.0
11,20,1,2,6585.0,5750.0
12,20,1,2,6730.0,5230.0
13,20,1,2,5970.0,3928.0
14,20,1,2,4497.0,2034.0
15,20,1,2,2178.0,372.0
16,20,1,2,441.0,29.0
17,20,1,2,29.0,29.0
18,20,1,2,29.0,29.0
19,20,1,2,29.0,29.0
20,20,1,2,29.0,29.0
21,20,1,2,29.0,29.0
22,20,1,2,29.0,29.0
23,20,1,2,29.0,0.0
0,21,1,3,1.0,0.0
1,21,1,3,1.0,0.0
2,21,1,3,1.0,0.0
3,21,1,3,1.0,0.0
4,21,1,3,0.0,0.0
5,21,1,3,0.0,0.0
6,21,1,3,0.0,44.0
7,21,1,3,20.0,1245.0
8,21,1,3,745.0,3416.0
9,21,1,3,2346.0,5578.0
10,21,1,3,4311.0,6585.0
11,21,1,3,5053.0,6730.0
12,21,1,3,5670.0,5970.0
13,21,1,3,5163.0,4497.0
14,21,1,3,3915.0,2178.0
15,21,1,3,1900.0,441.0
16,21,1,3,476.0,29.0
